place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
vallabhipur,706.09,4930.61,0.0,2085.33,2240.89,1431.27574394464,safe,61967.7891917,0.0,24254.4234341761,2024
anjar,743.45,21281.15,0.0,13763.12,11127.3,1431.27574394464,safe,132813.6622118,0.0,78468.0823203992,2024
dhanpur,697.0,2351.61,0.0,2351.61,886.64,1431.27574394464,safe,25380.380905,0.0,22676.380905,2024
kukarmunda,939.0,3196.53,0.0,3196.53,2276.39,1431.27574394464,semi_critical,17377.8821232,0.0,17373.8821232,2024
morwa hadaf,923.0,3307.22,0.0,3307.22,932.68,1431.27574394464,safe,32422.1015213,0.0,32422.1015213,2024
rajkot,969.45,26837.81,0.0,26837.81,14292.99,1431.27574394464,safe,102252.8043817,0.0,102252.8043817,2024
valod,1509.0,8308.49,0.0,8308.49,3904.76,1431.27574394464,safe,20332.4042944,0.0,20332.4042944,2024
dholera,690.0,13008.51,0.0,0.0,12.66,1431.27574394464,salinity,115903.6936567,0.0,0.0,2024
dhrangadhra,555.64,28758.41,0.0,17904.59,14348.13,1431.27574394464,safe,137120.1390615,0.0,83932.3988108745,2024
jhagadia,730.0,11480.44,0.0,11480.44,5403.26,1431.27574394464,safe,61001.5680232,0.0,60608.5680232,2024
sanjeli,729.0,1345.93,0.0,1345.93,226.4,1431.27574394464,safe,14231.667271,0.0,14079.667271,2024
gandhinagar,714.0,17430.22,0.0,17430.22,19274.65,1431.27574394464,over_exploited,67292.4630048,0.0,67292.4630048,2024
chhota udaipur,1172.0,9880.83,0.0,9880.83,4668.84,1431.27574394464,safe,76910.7110755,0.0,74499.7110755,2024
rapar,563.55,40533.09,0.0,16099.65,15167.79,1431.27574394464,safe,299760.0,0.0,99760.0,2024
bardoli,1503.0,12426.11,0.0,12426.11,7237.29,1431.27574394464,safe,38414.9681709,0.0,38414.9681709,2024
babra,731.45,18220.58,0.0,18220.58,11763.45,1431.27574394464,safe,80075.2298878,0.0,80075.2298878,2024
kalavad,835.18,28787.03,0.0,28787.03,15196.73,1431.27574394464,safe,125289.1426416,0.0,125289.1426416,2024
mangrol,1706.55,24030.49,0.0,20661.98,3493.08,1431.27574394464,safe,57615.6030065,0.0,46128.0460326877,2024
unjha,813.27,8491.2,0.0,8491.2,6658.64,1431.27574394464,semi_critical,32416.5400283,0.0,32416.5400283,2024
dholka,747.0,20401.59,0.0,8101.39,9935.34,1431.27574394464,safe,95401.4761786,0.0,33091.8682384807,2024
bhachau,563.64,23565.42,0.0,5019.34,10483.72,1431.27574394464,safe,199960.0,0.0,31538.0,2024
deesa,828.36,25611.91,0.0,25611.91,35677.54,1431.27574394464,over_exploited,108373.5605234,0.0,108373.5605234,2024
vaso,818.0,6446.3,0.0,6446.3,2166.38,1431.27574394464,safe,12849.4535812,0.0,12849.4535812,2024
tharad,508.45,21107.64,0.0,4930.45,34920.44,1431.27574394464,over_exploited,128451.3831896,0.0,31913.8300989835,2024
amirgadh,850.18,9559.91,0.0,9559.91,4261.53,1431.27574394464,safe,66994.456432,0.0,55594.086432,2024
palsana,1525.91,12173.74,0.0,12173.74,6382.11,1431.27574394464,safe,19588.7108141,0.0,19588.7108141,2024
khanpur,586.0,5156.77,0.0,5156.77,2407.93,1431.27574394464,safe,32919.5406496,0.0,32858.5406496,2024
kheralu,679.0,8541.78,0.0,8541.78,13281.49,1431.27574394464,over_exploited,31654.4850056,0.0,31654.4850056,2024
bharuch,994.09,13813.33,0.0,9653.69,5093.7,1431.27574394464,safe,64115.324012,0.0,40268.3641485292,2024
wankaner,578.0,21016.96,0.0,21016.96,12613.34,1431.27574394464,safe,110524.5968598,0.0,110524.5968598,2024
idar,1017.45,16870.02,0.0,16870.02,11297.91,1431.27574394464,semi_critical,86256.9379728,0.0,84030.9379728,2024
limkheda,752.0,6380.52,0.0,6380.52,1560.51,1431.27574394464,safe,51343.379741,0.0,46663.379741,2024
palitana,609.0,17454.85,0.0,17454.85,6208.91,1431.27574394464,safe,62959.063076,0.0,62959.063076,2024
kadana,851.0,5984.1,0.0,5984.1,1833.09,1431.27574394464,safe,41596.5395077,0.0,40488.5395077,2024
songadh,1716.0,31509.81,0.0,31509.81,6073.68,1431.27574394464,safe,118163.8905116,0.0,110400.8905116,2024
wadhwan,671.82,11174.74,0.0,4315.58,5841.38,1431.27574394464,safe,81202.9552158,0.0,32851.9253909355,2024
valsad,2267.0,18343.02,0.0,18331.85,7424.17,1431.27574394464,safe,53184.9991101,0.0,53184.9991101,2024
vadodara urban,1099.27,6957.91,0.0,6957.91,4410.47,1431.27574394464,safe,22368.615992,0.0,22368.615992,2024
