place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_irrigated,land_nonirrigated,land_total,year,state
mohadi,1376.360065,6124.430104,2518.520302,3605.909802,3312.154631,1572.484549,safe,25500,25994,51494,2022,Unknown
arjuni moregaon,1539.237542,15185.783,7726.181234,7459.601767,2395.79076,1098.135921,safe,22034.04,65442.98,87477.02,2022,Unknown
vasai,2028.67,1841.726242,1841.726242,3414.604293,662.8619066,662.8619066,safe,0,32750,32750,2022,Unknown
ulhasnagar,2455.2,87.27063841,87.27063841,3414.604293,35.13559439,35.13559439,safe,0,1300,1300,2022,Unknown
kalwan,825.0626778,8158.497551,7812.377551,346.12,4821.026227,4725.346227,safe,2108,58956,61064,2022,Unknown
pathardi,673.9791723,11563.7414,7788.299967,3775.441431,9098.365049,5888.701712,semi_critical,34970,75940,110910,2022,Unknown
shegaon,725.6308382,4203.814062,3214.640978,129.8634319,1940.736285,1789.745149,safe,811,36666,50979,2022,Unknown
partur,720,11474.11597,9544.721973,1929.394,4876.041263,4638.932204,safe,4833,92731,97564,2022,Unknown
daryapur,663.174452,4956.676244,3646.105329,3414.604293,1676.804834,2485.773266,salinity,0,0,77689,2022,Unknown
phaltan,473,17357.02997,7994.593983,9362.435985,10922.34047,6109.392748,safe,20604,89741,110345,2022,Unknown
vikramgad,3426.218211,2739.78147,2515.878704,223.9027658,402.1010931,302.7257701,safe,835,28005,28840,2022,Unknown
shirur,493.7818466,15742.46038,8154.852869,7587.607512,14141.29532,7698.125286,critical,70492.79,78197.91,148690.7,2022,Unknown
malshiras,619.4875779,20586.56727,8072.095086,12514.47219,19797.56552,8420.008131,over_exploited,55646,93653,149299,2022,Unknown
radhanagari,2452.860758,17277.23546,13946.20648,3331.028979,4857.110508,4123.389548,safe,4312.31,42849.53,47161.84,2022,Unknown
bhivandi,2544.732512,2958.48273,2823.080973,135.401757,1135.235109,1127.174512,safe,579,40055,40634,2022,Unknown
kankavali,3630.305003,4184.479668,4112.789668,71.69,1410.103027,1367.853027,safe,284,46656.58,46940.58,2022,Unknown
